image,libjpeg8-q95,yoga-jpeg-q95,libpng16,yoga-png,yoga-png-slow,cwebp-q95,yoga-webp-q95,cwebp-lossless,yoga-webp-lossless
drawing_gbdev11.png,15664,116892,13924,44492,55192,5524,33280,26076,63120
drawing_keyblade.png,14556,87492,13076,42240,51308,9708,43628,20968,51240
drawing_micropython.png,15948,116036,13780,62620,62904,5596,33296,25564,62592
drawing_pixelart.png,16692,116536,17844,43604,59828,5072,33768,7436,56388
photo_fire_oven.jpg,45484,834024,36848,134532,145580,17944,73096,81804,159892
photo_forest.png,228380,3855688,155016,397460,421728,107384,295436,458364,861796
photo_fox.jpg,50424,747772,34408,112204,126244,17520,72024,85904,166636
photo_gameboy.jpg,139632,2844636,107812,282328,306020,71072,222016,297976,604644
photo_park_plaza.jpg,232032,3785536,149192,387424,464868,107868,298160,466464,851884
screenshot_sdcc_install.png,13604,79220,13476,30868,35424,4708,30908,7588,43684
screenshot_yoga.png,17944,161000,14924,43072,45724,17492,63748,48212,76736
